"2026年08月14日更新"
"変電所No","変電所名","一次 電圧（kV）","二次 電圧（kV）","台数","設備容量（100%×台数）","運用容量値（MW）","運用容量制約要因","予想潮流","当該設備 空容量（MW）","上位系等考慮 空容量（MW）","N-1電制適用可否","N-1電制適用可能量","平常時出力制御の可能性","当該設備 平常時出力制御の可能性がある設備","上位系設備 平常時出力制御の可能性がある設備","備　考"
"南DZ","南河内","77","6.6","2","38","38","熱容量","－","8","0","不可 ＃２","－","有","ー","対象","※１"
"南EA","泉ヶ丘","77","6.6","3","41","41","熱容量","－","13","13","不可 ＃２","－","ー","ー","ー","※１"
"南EA","泉ヶ丘","77","22","2","28","28","熱容量","0","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"南EB","錦織","77","6.6","3","45","45","熱容量","－","9","0","不可 ＃２","－","有","ー","対象","※１"
"南EC","荒木","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"南ED","和泉大宮","77","6.6","2","34","34","熱容量","－","16","16","不可 ＃２","－","ー","ー","ー","※１"
"南EE","汐ノ宮","77","6.6","2","38","38","熱容量","－","18","0","不可 ＃２","－","有","ー","対象","※１"
"南EF","滝谷","77","6.6","3","57","57","熱容量","－","18","18","不可 ＃２","－","有","ー","対象","※１"
"南EF","滝谷","77","22","2","57","57","熱容量","1","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"南EG","唐国","77","6.6","2","57","57","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"南EG","唐国","77","22","2","57","57","熱容量","-3","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"南EH","岸和田","77","6.6","3","66","66","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"南EH","岸和田","77","22","2","57","57","熱容量","-1","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"南EI","田治米","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"南EJ","栂","77","6.6","3","57","57","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"南EK","浦田","77","6.6","2","38","38","熱容量","－","16","16","不可 ＃２","－","ー","ー","ー","※１"
"南EL","蛸地蔵","77","6.6","3","46","46","熱容量","－","13","13","不可 ＃２","－","ー","ー","ー","※１"
"南EM","脇浜","77","6.6","2","38","38","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"南EN","岬","77","6.6","2","38","38","熱容量","－","9","0","不可 ＃２","－","有","ー","対象","※１"
"南EN","岬","77","22","1","14","14","熱容量","-10","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"南EO","土生","77","6.6","3","47","47","熱容量","－","8","8","不可 ＃２","－","ー","ー","ー","※１"
"南EP","長野","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"南EP","長野","77","22","1","28","28","熱容量","0","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"南EQ","稲葉","77","6.6","3","57","57","熱容量","－","13","13","不可 ＃２","－","ー","ー","ー","※１"
"南ER","貝塚","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"南ES","二色浜","77","6.6","2","28","28","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"南ES","二色浜","77","22","2","57","57","熱容量","-1","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"南ET","三日市","77","6.6","3","47","47","熱容量","－","8","8","不可 ＃２","－","ー","ー","ー","※１"
"南EU","見出川","77","6.6","3","47","47","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"南EV","佐野","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"南EV","佐野","77","22","2","85","85","熱容量","0","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"南EW","りんくうタウン","77","6.6","2","57","57","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"南EW","りんくうタウン","77","22","2","114","62","熱容量","2","ー","ー","可","52","ー","ー","ー","※３"
"南EX","鶴原","77","6.6","2","38","38","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"南EY","水間","77","6.6","2","38","38","熱容量","－","15","15","不可 ＃２","－","ー","ー","ー","※１"
"南EZ","久保","77","6.6","2","38","38","熱容量","－","10","10","不可 ＃２","－","ー","ー","ー","※１"
"南FA","熊取","77","6.6","2","38","38","熱容量","－","16","16","不可 ＃２","－","ー","ー","ー","※１"
"南FB","羽倉崎","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"南FC","信達","77","6.6","2","32","32","熱容量","－","13","0","不可 ＃２","－","有","ー","対象","※１"
"南FC","信達","77","22","1","28","28","熱容量","1","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"南FD","長滝","77","6.6","2","38","38","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"南FE","砂川","77","6.6","3","57","57","熱容量","－","12","12","不可 ＃２","－","ー","ー","ー","※１"
"南FF","尾崎","77","6.6","3","52","52","熱容量","－","12","0","不可 ＃２","－","有","ー","対象","※１"
"南FF","尾崎","77","22","1","28","28","熱容量","1","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"南FG","箱作","77","6.6","2","38","38","熱容量","－","11","0","不可 ＃２","－","有","ー","対象","※１"
"南FI","咲州","22","6.6","1","5","5","熱容量","ー","5","5","不可 ＃２","－","ー","ー","ー","※１"
"南FJ","テクノ東1","22","6.6","1","5","5","熱容量","ー","5","4","不可 ＃２","－","ー","ー","ー","※１"
"南FK","テクノ東2","22","6.6","1","5","5","熱容量","ー","5","5","不可 ＃２","－","ー","ー","ー","※１"
"南FL","東埠頭","22","6.6","1","5","5","熱容量","ー","5","4","不可 ＃２","－","ー","ー","ー","※１"
"南FM","北埠頭","22","6.6","1","5","5","熱容量","ー","3","3","不可 ＃２","－","ー","ー","ー","※１"
"南FN","ハイテクタウン","22","6.6","1","5","5","熱容量","ー","5","5","不可 ＃２","－","ー","ー","ー","※１"
"南FO","中埠頭","22","6.6","1","5","5","熱容量","ー","5","4","不可 ＃２","－","ー","ー","ー","※１"
"南FP","かもめふとう","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"南FQ","南埠頭","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"南FR","鉄鋼流通団地","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"南FS","国分第２","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"南FT","国分","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"南FW","若松北","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"南FX","若松中","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"南FY","若松南","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"京A","美浜町","77","6.6","2","33","33","熱容量","－","9","0","不可 ＃２","－","ー","ー","ー","※１"
"京A","美浜町","77","33","2","23","23","熱容量","-4","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京B","十村","77","6.6","2","19","19","熱容量","－","4","4","不可 ＃２","－","ー","ー","ー","※１"
"京B","十村","77","33","1","14","14","熱容量","-7","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京C","上中町","77","6.6","2","28","28","熱容量","－","7","7","不可 ＃２","－","ー","ー","ー","※１"
"京D","南川町","77","6.6","3","47","47","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"京E","小浜","77","6.6","2","19","19","熱容量","－","8","8","不可 ＃２","－","ー","ー","ー","※１"
"京E","小浜","77","33","2","28","15","熱容量","-1","ー","ー","可","13","ー","ー","ー","※３"
"京Ｆ","本郷","33","6.6","2","19","19","熱容量","－","3","3","不可 ＃２","－","ー","ー","ー","※１"
"京Ｇ","高浜","77","6.6","2","38","38","熱容量","－","12","12","不可 ＃２","－","ー","ー","ー","※１"
"京Ｈ","音海","77","6.6","1","2","2","熱容量","－","2","2","不可 ＃２","－","ー","ー","ー","※１"
"京Ｉ","白鳥","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京J","中舞鶴","77","6.6","2","19","19","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"京K","網野","33","6.6","2","19","19","熱容量","－","0","0","不可 ＃２","－","有","ー","対象","※１"
"京Ｌ","弥栄町","77","6.6","1","19","19","熱容量","－","11","11","不可 ＃２","－","有","ー","対象","※１"
"京Ｌ","弥栄町","77","33","1","14","14","熱容量","1","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"京Ｍ","丹後木津","77","6.6","2","19","19","熱容量","－","9","9","不可 ＃２","－","有","ー","対象","※１"
"京Ｎ","間人","33","6.6","2","11","11","熱容量","－","5","5","不可 ＃２","－","有","ー","対象","※１"
"京Ｏ","海部","33","6.6","2","19","19","熱容量","－","5","5","不可 ＃２","－","有","ー","対象","※１"
"京Ｐ","峰山","77","6.6","3","57","57","熱容量","－","15","15","不可 ＃２","－","有","ー","対象","※１"
"京Ｐ","峰山","77","33","2","57","31","熱容量","-1","ー","ー","可","26","有","ー","対象","※３"
"京Ｑ","岩滝","77","6.6","2","19","19","熱容量","－","9","9","不可 ＃２","－","有","ー","対象","※１"
"京Ｑ","岩滝","77","33","1","14","14","熱容量","-2","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"京R","薬師","77","6.6","1","9","9","熱容量","－","5","5","不可 ＃２","－","有","ー","対象","※１"
"京R","薬師","77","33","2","28","15","熱容量","4","ー","ー","可","13","有","ー","対象","※３"
"京Ｓ","波路","33","6.6","2","19","19","熱容量","－","9","9","不可 ＃２","－","有","ー","対象","※１"
"京Ｔ","平","33","6.6","2","11","11","熱容量","－","3","3","不可 ＃２","－","有","ー","対象","※１"
"京U","東舞鶴","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","有","ー","対象","※１"
"京U","東舞鶴","77","33","2","57","57","熱容量","-9","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"京V","西舞鶴","77","6.6","2","19","19","熱容量","－","8","8","不可 ＃２","－","有","ー","対象","※１"
"京V","西舞鶴","77","33","2","57","31","熱容量","-26","ー","ー","可","26","有","ー","対象","※３"
"京Ｗ","下福井","77","6.6","3","47","47","熱容量","－","8","8","不可 ＃２","－","有","ー","対象","※１"
"京Ｘ","上山田","33","6.6","2","19","19","熱容量","－","7","7","不可 ＃２","－","有","ー","対象","※１"
"京Ｙ","加悦","77","6.6","2","28","28","熱容量","－","8","8","不可 ＃２","－","有","ー","対象","※１"
"京Ｚ","梅谷","77","6.6","2","19","19","熱容量","－","3","3","不可 ＃２","－","有","ー","対象","※１"
"京Ｚ","梅谷","77","33","1","9","9","熱容量","-6","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"京AA","福知山","77","6.6","2","38","38","熱容量","－","14","14","不可 ＃２","－","有","ー","対象","※１"
"京AA","福知山","77","33","2","57","57","熱容量","-24","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"京AB","岩井","77","6.6","2","38","38","熱容量","－","15","15","不可 ＃２","－","有","ー","対象","※１"
"京AC","石原","77","6.6","2","19","19","熱容量","－","6","6","不可 ＃２","－","有","ー","対象","※１"
"京AD","長田野","77","6.6","2","36","36","熱容量","－","9","9","不可 ＃２","－","有","ー","対象","※１"
"京AD","長田野","77","33","2","85","85","熱容量","-15","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"京AE","綾部","33","6.6","2","19","19","熱容量","－","8","8","不可 ＃２","－","有","ー","対象","※１"
"京ＡＦ","和知","77","6.6","2","19","19","熱容量","－","2","2","不可 ＃２","－","有","ー","対象","※１"
"京ＡＦ","和知","77","33","1","14","14","熱容量","-9","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"京AG","青野","77","6.6","2","38","38","熱容量","－","13","13","不可 ＃２","－","有","ー","対象","※１"
"京AG","青野","77","33","2","71","71","熱容量","-11","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"京AH","丹波町","77","6.6","2","19","19","熱容量","－","0","0","不可 ＃２","－","有","ー","対象","※１"
"京AH","丹波町","77","33","2","42","42","熱容量","-37","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"京AI","須知","33","6.6","2","19","19","熱容量","－","0","0","不可 ＃２","－","有","ー","対象","※１"
"京AJ","園部","77","6.6","3","38","38","熱容量","－","3","3","不可 ＃２","－","ー","ー","ー","※１"
"京AK","南丹新庄","77","6.6","1","9","9","熱容量","－","3","3","不可 ＃２","－","ー","ー","ー","※１"
"京AL","八木","77","6.6","1","9","9","熱容量","－","6","6","不可 ＃２","－","ー","ー","ー","※１"
"京AL","八木","77","33","1","28","28","熱容量","-29","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京AM","亀岡","77","6.6","3","57","57","熱容量","－","13","13","不可 ＃２","－","ー","ー","ー","※１"
"京AM","亀岡","77","33","2","71","71","熱容量","-16","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京AN","馬堀","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京AO","大原野","77","6.6","3","57","57","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"京AP","桂","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京AQ","上里","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京AR","松尾","77","6.6","3","47","47","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"京AS","長岡","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京AT","大山崎","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京AT","大山崎","77","33","2","28","28","熱容量","1","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京AU","久我","77","6.6","2","54","54","熱容量","－","26","26","不可 ＃２","－","ー","ー","ー","※１"
"京AV","双ヶ岡","77","6.6","2","28","28","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"京AW","嵯峨","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京AX","太秦","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京AY","西院","77","6.6","2","47","47","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京AY","西院","77","22","2","85","47","熱容量","0","ー","ー","可","38","ー","ー","ー","※３"
"京AZ","太子道","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京BA","朱雀野","77","6.6","2","47","47","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京BB","白梅町","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京BC","北衣手","77","6.6","2","57","57","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"京BD","大宮","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京BD","大宮","77","22","2","57","57","熱容量","-6","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京BE","西賀茂","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京BG","堀川","77","6.6","2","47","47","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京BH","上賀茂","77","6.6","2","28","28","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"京BI","一条","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京BJ","田中","77","6.6","3","47","47","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"京BJ","田中","77","22","1","28","28","熱容量","4","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京BK","室町","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京BL","松ヶ崎","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京BL","松ヶ崎","77","22","2","57","31","熱容量","4","ー","ー","可","26","ー","ー","ー","※３"
"京BM","山端","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京BN","島原","77","6.6","2","57","57","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"京BN","島原","77","22","2","85","85","熱容量","3","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京BO","中京","77","6.6","3","47","47","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"京BP","竹間","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京BQ","西京極","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京BR","上鳥羽","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京BR","上鳥羽","77","22","1","28","28","熱容量","2","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京BS","東寺","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京BT","大仏","77","6.6","2","28","28","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"京BU","蹴上","77","6.6","2","28","28","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"京BV","河原町","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京BW","寺町","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京BW","寺町","77","22","2","57","31","熱容量","2","ー","ー","可","26","ー","ー","ー","※３"
"京BX","三条","77","6.6","3","47","47","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"京BY","祇園","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京BZ","有隣","77","6.6","2","57","57","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"京CA","下京","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京CB","吉祥院","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京CC","七条","77","6.6","2","57","57","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"京CC","七条","77","22","2","57","57","熱容量","6","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京CD","勧進橋","77","6.6","2","57","57","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"京CD","勧進橋","77","22","2","57","57","熱容量","6","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京CE","清井町","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京CF","錦","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京CF","錦","77","22","2","57","57","熱容量","4","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京CG","向日町","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京CG","向日町","77","22","2","57","57","熱容量","6","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京CH","神足","77","6.6","2","38","38","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"京CH","神足","77","22","2","57","57","熱容量","5","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京CJ","淀","77","6.6","2","38","38","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"京CJ","淀","77","22","2","28","28","熱容量","-14","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京CK","丹波橋","77","6.6","2","28","28","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"京CL","伏見","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京CM","下鳥羽","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京CN","木幡","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京CN","木幡","77","22","2","28","15","熱容量","0","ー","ー","可","13","ー","ー","ー","※３"
"京CO","醍醐","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京CP","小倉","77","6.6","3","73","73","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京CP","小倉","77","22","2","28","28","熱容量","0","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京CQ","菟道","77","6.6","2","34","34","熱容量","－","15","15","不可 ＃２","－","ー","ー","ー","※１"
"京CR","山科","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京CS","西山科","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京CU","大塚","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京CV","新山科","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京CV","新山科","77","22","2","57","57","熱容量","-4","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京CW","稲荷","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京CX","深草","77","6.6","3","66","66","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京CY","城陽","77","6.6","2","38","38","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"京CY","城陽","77","22","2","57","57","熱容量","-13","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京CZ","枇杷庄","77","6.6","2","32","32","熱容量","－","13","13","不可 ＃２","－","ー","ー","ー","※１"
"京DA","市辺","77","6.6","2","28","28","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"京DB","折居","77","6.6","2","36","36","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"京DC","大久保","77","6.6","3","66","66","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京DD","久御山","77","6.6","3","76","76","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京DD","久御山","77","22","2","57","57","熱容量","3","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京DE","岩田","77","6.6","2","38","38","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"京DF","大住","77","6.6","2","38","38","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"京DG","男山","77","6.6","3","57","57","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"京DG","男山","77","22","2","28","28","熱容量","2","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京DH","三山木","77","6.6","2","38","38","熱容量","－","15","15","不可 ＃２","－","ー","ー","ー","※１"
"京DH","三山木","77","22","2","42","42","熱容量","-6","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京DI","久世","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京DJ","久津川","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京DK","木津","77","6.6","2","38","38","熱容量","－","18","18","不可 ＃２","－","有","ー","対象","※１"
"京DK","木津","77","22","2","28","28","熱容量","4","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"京DL","松井","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"京DM","祝園","77","6.6","2","38","38","熱容量","－","17","0","不可 ＃２","－","有","ー","対象","※１"
"京DM","祝園","77","22","2","57","57","熱容量","2","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"京DN","山家城","33","6.6","1","2","2","熱容量","－","1","1","不可 ＃２","－","有","ー","対象","※１"
"京DO","横大路","77","22","2","57","57","熱容量","4","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"京DP","本坂","33","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"京DQ","養老","33","6.6","1","2","2","熱容量","ー","1","1","不可 ＃２","－","ー","ー","ー","※１"
"京DR","赤坂","33","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"京DS","毛ノ鼻","33","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"京DT","佐田","33","6.6","1","5","5","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"京DU","橋北","33","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"京DV","遊子","33","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"京DW","三坂峠","33","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"京DX","世久津","33","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"京DY","獅子","33","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"京DZ","中津","33","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"京EB","吉津","33","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"京EC","瀬崎","33","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"京ED","和江","33","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"京EE","志高","33","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"京EF","中名田","33","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"京EG","美鈴","33","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"京EH","坂本","33","6.6","1","2","2","熱容量","ー","1","1","不可 ＃２","－","ー","ー","ー","※１"
"京EI","有路下","33","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"京EJ","上林","33","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"京EK","上夜久野","33","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"京EL","野花","33","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"京EM","綾工第一","33","6.6","1","5","5","熱容量","ー","5","5","不可 ＃２","－","ー","ー","ー","※１"
"京EN","綾工第四","33","6.6","1","5","5","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"京EO","綾工第五","33","6.6","1","5","5","熱容量","ー","3","0","不可 ＃２","－","ー","ー","ー","※１"
"京EP","綾工第三","33","6.6","1","5","5","熱容量","ー","3","3","不可 ＃２","－","ー","ー","ー","※１"
"京EQ","綾工第二","33","6.6","1","5","5","熱容量","ー","3","3","不可 ＃２","－","ー","ー","ー","※１"
"京ER","旭町","33","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"京ES","平屋","33","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"京ET","美山","33","6.6","1","5","5","熱容量","ー","1","1","不可 ＃２","－","ー","ー","ー","※１"
"京EU","三和","33","6.6","1","5","5","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"京EV","下山","33","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
